date,code,rank,brand,product,price,like
20260323,11190137,97,CJ웰케어,"""편안한 밤 필수템"" 식물성 멜라토닌 1mg 구미 젤리 멜라메이트 1박스 (20구미) 수험생/직장인 선물",9900,3843
20260323,9173539,98,뉴트리디데이,"""건강선물"" 슈퍼 피쉬오일 오메가3 1병 6개월분 180캡슐 [케이스동봉]",32900,6069
20260323,6534079,99,익스트림,"""에너지선물 활력1위 아이템"" 익스트림 김종국 트리플아르기닌 6200  (10포) +선물포장",16900,20000
20260323,1124665,100,상아제약,하루한포 6년근 홍삼정 데일리타임 홍삼스틱 30포,20900,10000
20260323,9027234,101,산골농장,산골농장 하루한포 배&도라지 스틱 도라지배즙 60포 (원통),26900,3479
20260323,4929514,102,에버콜라겐,"""빛나는피부선물"" [단독패키지+메시지카드]에버콜라겐 타임비오틴 업 30포(1개월) (콜라겐&비오틴&아연)",26000,5806
20260323,12891558,103,려원담,"""하루 한포 건강"" [단독] 배를 품은 도라지스틱 30포x12g 국산 도라지,배 함유!",19800,10000
20260323,11866770,104,동국제약,동국제약 마이핏V 올인원 이뮨 멀티비타민 8개입 2박스+행운부적 키링 스페셜 에디션 / 수능 감사 부모님 영양제 선물,37900,4991
20260323,2574618,105,엔젯오리진,"""맛있는 비타민젤리"" 엔젯오리진 맛있는 비타민 젤리 선물세트(귤젤리/엘더베리/비타민B/석류콜라겐(캔디류) 외)",21900,3077
20260323,10244916,106,정관장(LuX),[정관장] 활기력부스터 3X (30입) [홍삼&고함량비타민&미네랄] + [증정] 활기마이트 1입,125000,2401
20260323,12456702,107,뉴트리원,"""활력 선물"" [뉴트리원] 프리미엄 알부민 골드 2박스 (14병/2주분) +전용 쇼핑백 증정 / 액상형 알부민, 선물추천",25900,465
20260323,6178988,108,한끼통살,[한끼통살 소스+그릴드 맛보기 10팩] 통살/그릴드 닭가슴살 모음전,24500,8393
20260323,927895,109,종근당,침향환 골드 침향 60환 1세트 부모님 건강 선물,67500,8299
20260323,9285276,110,동국제약,동국제약 마이핏V 이뮨 멀티비타민 8병 +행운부적 키링 증정+기프트백 / 수능 감사 수험생 직장인 영양제 선물,21900,50000
20260323,12714775,111,마더네스트,"""눈건강+피로회복"" 마더네스트 이뮨비타민 바이탈 부스터샷 7입 (7일분)_멀티비타민",18900,133
20260323,6367405,112,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 60입 - 시그니처 기프트 에디션 (공식수입)",197000,3199
20260323,6499587,113,닥터브라이언,"""맛있는 비타민젤리"" [선물세트] 닥터브라이언 비타민 구미5종 기획전 (2개입)",29900,1852
20260323,2231834,114,뉴트리원,"""맛있는 건강 선물"" [뉴트리원] 김희애 석류 더 콜라겐 젤리 선물세트(3개입) +쇼핑백 증정 / 여성 선물 추천""카카오선물하기",39900,9014
20260323,12610607,115,동아제약,"[단독] 비타그란 비타민C 구미젤리 버라이어티팩 (복숭아/포도/오렌지 3가지맛, 45봉 대용량) + 비타민 젤리 7봉 증정",28000,853
20260323,10591119,116,센트룸,[카카오 단독 특가]센트룸 원데이팩 맨/우먼 2030 30일팩 2종 택1,50000,878
20260323,12099886,117,오쏘몰,"""독일 명품 비타민"" [단독] 오쏘몰 이뮨 멀티비타민&미네랄 3입 로네펠트 에디션 (티백 3종증정)",19900,1203
20260323,6028047,118,종근당건강,"""프리미엄 비타민선물"" [단독] 아임비타 멀티비타민 이뮨샷 1박스(30입) + 드롭드롭드롭 콜라보 파우치 증정",74000,9189
20260323,12818547,119,원기담,"""하루한병"" 원기담 메가 알부민 맥스 20ml 30병(30일분 액상형 앰플)",59000,4241
20260323,10510690,120,종근당,"""단독/2입 추가증정"" 이뮨 멀티비타민 10+2입 마시는 액상 종합 비타민 수험생 직장인 부모님 건강 선물",29900,6554
20260323,10127042,121,한끼통살,[한끼통살] 닭가슴살 2주 식단 패키지 14팩,25900,1313
20260323,8099561,122,퓨어마스터,"""피부를 위한 선물"" 퓨어마스터 피부엔 석류 콜라겐 플러스 20ml 20병",25500,2499
20260323,11344099,123,RU21,"""비타민의 정석"" RU21 클리어 샷 멀티비타민&미네랄 7개입 x 1박스 / 이뮨비타민 생일 건강 응원 직장인 선물 필수템",24900,10000
20260323,12409184,124,CJ웰케어,"""피부면역 & 장케어"" [파우치에 쏙, 초소형 캡슐] 피부 면역 100억 고함량 유산균 바이오코어 (캡슐/포 택1)",11900,367
20260323,5297984,125,삼대오백,[운동선물/헬스] BCAA 오리지널 300g 1통 삼대오백 헬스 운동 부스터,17900,6286
20260323,3609562,126,얼라이브,"""한 알 가득 비타민""  얼라이브 멀티비타민 60정 (2개월분) 6종 택1 / 멀티,맨,우먼,50+,밀크씨슬,칼슘",25900,10000
20260323,7755222,127,CJ웰케어,"""100억 부자되세요"" [화사하게 증식하는] 100억 고함량 유산균 바이오코어 (캡슐/포 택1)",12900,713
